Date,Open,High,Low,Close,Volume,Change
27-Feb-24,"63,450.40","63,622.00","63,055.64","63,219.09","231,041,416",-86.84
26-Feb-24,"62,915.40","63,732.50","62,915.39","63,305.93","221,452,325",490.12
23-Feb-24,"61,939.01","62,945.36","61,849.67","62,815.81","196,435,226",901.47
22-Feb-24,"61,741.57","61,952.09","61,460.44","61,914.34","171,751,787",355.19
21-Feb-24,"61,237.78","61,620.85","60,906.97","61,559.15","210,578,314","1,094.91"
20-Feb-24,"60,576.38","61,237.51","60,420.83","60,464.24","234,890,909",4.5
19-Feb-24,"59,444.46","60,504.48","59,191.85","60,459.74","126,222,530",586.78
16-Feb-24,"60,787.30","61,173.30","59,739.46","59,872.96","163,233,825","-1,147.09"
15-Feb-24,"62,394.25","62,394.25","60,926.85","61,020.05","154,596,924","-1,133.79"
14-Feb-24,"61,635.62","62,432.25","61,635.61","62,153.84","179,310,406",926.92
13-Feb-24,"60,536.13","61,654.65","59,613.17","61,226.92","253,487,196",161.61
12-Feb-24,"62,444.76","62,634.37","60,647.67","61,065.31","200,894,460","-1,878.43"
09-Feb-24,"63,291.62","63,305.70","61,781.76","62,943.74","151,778,801","-1,200.13"
07-Feb-24,"63,955.05","64,196.61","63,927.28","64,143.87","194,653,075",344.86
06-Feb-24,"63,178.09","63,885.09","63,176.96","63,799.01","167,998,130",796.1
02-Feb-24,"62,536.10","63,075.30","62,448.72","63,002.91","133,234,269",609.18
01-Feb-24,"62,054.25","62,480.23","61,764.69","62,393.73","138,794,235",414.55
31-Jan-24,"62,072.82","62,600.12","61,896.00","61,979.18","153,557,746",137.44
30-Jan-24,"62,799.23","63,074.50","61,637.62","61,841.74","233,753,017",-931.98
29-Jan-24,"63,792.84","63,792.84","62,717.71","62,773.72","162,231,924","-1,039.34"
26-Jan-24,"64,220.91","64,534.29","63,743.40","63,813.06","212,491,251",-484.94
25-Jan-24,"64,918.32","65,213.61","64,180.44","64,298.00","290,527,031",-524.43
24-Jan-24,"64,569.49","65,063.08","64,460.94","64,822.43","278,201,516",368.21
23-Jan-24,"64,121.46","64,658.17","63,549.60","64,454.22","261,063,924",514.81
